id,trueTarget.X,trueTarget.Y,trueTarget.Z
11,-1,0.49,1.5
16,-1,0.49,1.5
38,-1,0.49,1.5
96,-1,0.49,1.5
102,-1,0.49,1.5
36,-1,0.49,2.5
66,-1,0.49,2.5
93,-1,0.49,2.5
104,-1,0.49,2.5
118,-1,0.49,2.5
19,-1,0.49,3.5
24,-1,0.49,3.5
72,-1,0.49,3.5
73,-1,0.49,3.5
129,-1,0.49,3.5
18,-1,1.49,1.5
51,-1,1.49,1.5
86,-1,1.49,1.5
95,-1,1.49,1.5
97,-1,1.49,1.5
3,-1,1.49,2.5
9,-1,1.49,2.5
56,-1,1.49,2.5
64,-1,1.49,2.5
71,-1,1.49,2.5
50,-1,1.49,3.5
62,-1,1.49,3.5
82,-1,1.49,3.5
101,-1,1.49,3.5
120,-1,1.49,3.5
13,-1,2.49,1.5
29,-1,2.49,1.5
48,-1,2.49,1.5
98,-1,2.49,1.5
119,-1,2.49,1.5
2,-1,2.49,2.5
7,-1,2.49,2.5
55,-1,2.49,2.5
103,-1,2.49,2.5
122,-1,2.49,2.5
14,-1,2.49,3.5
46,-1,2.49,3.5
121,-1,2.49,3.5
131,-1,2.49,3.5
133,-1,2.49,3.5
20,0,0.49,1.5
22,0,0.49,1.5
39,0,0.49,1.5
53,0,0.49,1.5
108,0,0.49,1.5
0,0,0.49,2.5
23,0,0.49,2.5
26,0,0.49,2.5
30,0,0.49,2.5
105,0,0.49,2.5
52,0,0.49,3.5
79,0,0.49,3.5
87,0,0.49,3.5
88,0,0.49,3.5
112,0,0.49,3.5
5,0,1.49,1.5
37,0,1.49,1.5
57,0,1.49,1.5
59,0,1.49,1.5
94,0,1.49,1.5
15,0,1.49,2.5
33,0,1.49,2.5
42,0,1.49,2.5
61,0,1.49,2.5
111,0,1.49,2.5
41,0,1.49,3.5
65,0,1.49,3.5
113,0,1.49,3.5
116,0,1.49,3.5
134,0,1.49,3.5
31,0,2.49,1.5
40,0,2.49,1.5
75,0,2.49,1.5
76,0,2.49,1.5
125,0,2.49,1.5
28,0,2.49,2.5
44,0,2.49,2.5
49,0,2.49,2.5
67,0,2.49,2.5
83,0,2.49,2.5
99,0,2.49,3.5
115,0,2.49,3.5
117,0,2.49,3.5
128,0,2.49,3.5
132,0,2.49,3.5
8,1,0.49,1.5
21,1,0.49,1.5
54,1,0.49,1.5
80,1,0.49,1.5
127,1,0.49,1.5
27,1,0.49,2.5
43,1,0.49,2.5
47,1,0.49,2.5
84,1,0.49,2.5
106,1,0.49,2.5
6,1,0.49,3.5
12,1,0.49,3.5
32,1,0.49,3.5
81,1,0.49,3.5
130,1,0.49,3.5
1,1,1.49,1.5
45,1,1.49,1.5
92,1,1.49,1.5
107,1,1.49,1.5
109,1,1.49,1.5
17,1,1.49,2.5
60,1,1.49,2.5
70,1,1.49,2.5
74,1,1.49,2.5
78,1,1.49,2.5
10,1,1.49,3.5
25,1,1.49,3.5
77,1,1.49,3.5
91,1,1.49,3.5
123,1,1.49,3.5
63,1,2.49,1.5
69,1,2.49,1.5
100,1,2.49,1.5
114,1,2.49,1.5
124,1,2.49,1.5
58,1,2.49,2.5
85,1,2.49,2.5
89,1,2.49,2.5
90,1,2.49,2.5
110,1,2.49,2.5
4,1,2.49,3.5
34,1,2.49,3.5
35,1,2.49,3.5
68,1,2.49,3.5
126,1,2.49,3.5
